ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,1,https://openalex.org/W2890376498,Ethical Dimensions of Music Information Retrieval Technology,2018,85,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.540577,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.963719,0.312732,0.504015,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,2,https://openalex.org/W3093121331,GiantMIDI-Piano: A Large-Scale MIDI Dataset for Classical Piano Music,2022,49,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.536609,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,1,0.287091,0.498669,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,3,https://openalex.org/W4394916053,The Sound Demixing Challenge 2023 - Music Demixing Track,2024,23,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,0.412592,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.782313,0.213512,0.654061,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,4,https://openalex.org/W3215381343,On Evaluation of Inter- and Intra-Rater Agreement in Music Recommendation,2021,40,tismir,Music and Audio Processing;Neuroscience and Music Perception;Speech and Audio Processing,0.38308,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.680272,0.223053,0.739483,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,5,https://openalex.org/W3209617794,Diversity by Design in Music Recommender Systems,2021,32,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.377085,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.544218,0.287091,0.616061,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,6,https://openalex.org/W4415947443,Beyond a Western Center of Music Information Retrieval: A Bibliometric Analysis of the First 25 Years of ISMIR Authorship,2025,0,tismir,Music and Audio Processing;Diverse Musicological Studies;Information Retrieval and Search Behavior,0.359477,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,0.553042,0.668711,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,7,https://openalex.org/W4387375972,Perceptual and automated estimates of infringement in 40 music copyright cases,2023,16,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.346133,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.408163,0.312732,0.708855,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,8,https://openalex.org/W7119099299,Supervised Contrastive Models for Music Information Retrieval in Classical Persian Music,2026,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Music Education Insights,0.336609,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,0.51786,0.751551,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,9,https://openalex.org/W4410033452,Cross‑Modal Approaches to Beat Tracking: A Case Study on Chopin Mazurkas,2025,0,tismir,Music and Audio Processing;Music Technology and Sound Studies;Musicology and Musical Analysis,0.336609,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,0.51786,0.601351,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,10,https://openalex.org/W7133229896,Predicting Perceived Semantic Expression of Functional Sounds Using Unsupervised Feature Extraction and Ensemble Learning,2026,0,tismir,Music and Audio Processing;Emotion and Mood Recognition;Music Technology and Sound Studies,0.336609,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0,0.51786,0.75554,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,11,https://openalex.org/W4386773472,PiJAMA: Piano Jazz with Automatic MIDI Annotations,2023,13,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.319347,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.331633,0.312732,0.503339,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,12,https://openalex.org/W3092976109,Intelligent User Interfaces for Music Discovery,2020,25,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.31416,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.364431,0.287091,0.54726,0,true,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,bridge,13,https://openalex.org/W3036517071,Unveiling the Hierarchical Structure of Music by Multi-Resolution Community Detection,2020,13,tismir,Music and Audio Processing;Music Technology and Sound Studies;Animal Vocal Communication and Behavior,0.294602,Near a boundary between k-means cluster centroids in embedding space (squared L2 vs other centroids); bridge family weight is zero so final_score does not use this signal. Semantic score not used.,,0.189504,0.351193,0.809784,0,true,,,,
