row_id,worksheet_version,review_pool_variant,paper_id,openalex_work_id,work_id,title,year,citation_count,source_slug,topics,abstract_preview,sample_reason,ranking_run_id,family,final_score,rank_in_family,relevance_label,novelty_label,bridge_like_label,reviewer_notes
b64570523311504918bdb35bb7ba58a935184cf7c7368775e5c51eb9b1bc3f0e,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4404396137,W4404396137,W4404396137,"Testing Auditory Illusions in Augmented Reality: Plausibility, Transfer-Plausibility, and Authenticity",2024,11,jaes,Hearing Loss and Rehabilitation;Tactile and Sensory Interactions;Image and Video Quality Assessment,"Experiments testing sound for augmented reality can involve real and virtual sound sources. Paradigms are either based on rating various acoustic attributes or testing whether a virtual sound source is believed to be real (i.e., evokes an auditory illusion). This study compares four experimental designs indicating such illusions. The first is an ABX task...",second_surface_score_spread,rank-83787b91ef,emerging,0.513988,8,acceptable,useful,not_applicable,"AR auditory-illusion psychoacoustics; audio perception adjacent, no clear music discovery or recommender value."
bf6d0561cd823602363e4074220cb02ad2d4b43969a9eb9aeadeda3e9ef0bdf6,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4412653550,W4412653550,W4412653550,FakeMusicCaps: A Dataset for Detection and Attribution of Synthetic Music Generated via Text-to-Music Models,2025,10,,,"Text-to-music (TTM) models have recently revolutionized the automatic music generation research field, specifically by being able to generate music that sounds more plausible than all previous state-of-the-art models and by lowering the technical proficiency needed to use them. For these reasons, they have readily started to be adopted for commercial uses...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.465621,21,good,surprising,not_applicable,TTM synthetic-music detection and attribution dataset; core MIR safety/evaluation resource.
68a673c3d714bed5729cad04d9db1db42f853cf8bd43f97d214ba280a505b9c9,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4401909510,W4401909510,W4401909510,Jazz Trio Database: Automated Annotation of Jazz Piano Trio Recordings Processed Using Audio Source Separation,2024,4,tismir,Music and Audio Processing;Music Technology and Sound Studies;Speech and Audio Processing,"Recent advances in automatic music transcription have facilitated the creation of large databases of symbolic transcriptions of improvised music forms including jazz, where traditional notated scores are not normally available. In conjunction with music source separation models that enable audio to be ""demixed"" into separate signals for multiple instrumen...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.459916,24,good,useful,not_applicable,jazz trio source-separation plus symbolic transcription dataset; core MIR resource.
9cbc634c2c2619a11317be41aab9db0d6021c8b18d659d4c8cd6749a70e4bcde,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4403467855,W4403467855,W4403467855,Audiovisual Congruence and Localization Performance in Virtual Reality: 3D Loudspeaker Model vs. Human Avatar,2024,7,jaes,3D Surveying and Cultural Heritage,This paper investigates audiovisual congruence in virtual reality with both horizontal and vertical offsets between audio and visual rendering. Audiovisual congruence and localization errors are assessed using loudspeaker playback and nonindividualized headphone rendering. To account for the influence of different types of visual information on congruence...,second_surface_high_score_candidate,rank-83787b91ef,emerging,0.452362,26,acceptable,useful,not_applicable,"spatial-audio VR audiovisual congruence; audio engineering adjacent, no clear music discovery or recommender value."
dec8208328848c696c16b16cf929c0490ae7469a31beb67cd3e0ec843282bb0a,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4400775726,W4400775726,W4400775726,Singer and Audience Evaluations of a Networked Immersive Audio Concert,2024,4,jaes,Music Technology and Sound Studies;Diverse Musicological Studies;Music History and Culture,"At the 2023 AES International Conference on Spatial and Immersive Audio, a networked immersive audio concert was performed. A vocal octet connected over the Internet between York and Huddersfield and provided a performance that was auralized in the acoustics of BBC Maida Vale Studio 2. A live audience in Huddersfield experienced the concert with local sin...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.444271,28,acceptable,useful,not_applicable,"networked immersive-audio concert evaluation; music-performance technology adjacent, not core MIR discovery research."
1e5f9d48b2b139b79ee5db8e6b00a5e0727b619f7add0d8f18245c8e0eb95cc9,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4405584712,W4405584712,W4405584712,GOLF: A Singing Voice Synthesiser with Glottal Flow Wavetables and LPC Filters,2024,3,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,"This paper introduces GlOttal‑flow LPC Filter (GOLF), a novel method for singing voice synthesis (SVS) that exploits the physical characteristics of the human voice using differentiable digital signal processing. GOLF employs a glottal model as the harmonic source and LPC filters to simulate the vocal tract, resulting in an interpretable and efficient syn...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.433921,34,good,useful,not_applicable,differentiable singing-voice synthesis with glottal/LPC modeling; core audio ML for music.
1cec2084706bfed75f401176b899031042c8986037d8f1988ec2926bf454724f,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4401401564,W4401401564,W4401401564,The Billboard Melodic Music Dataset (BiMMuDa),2024,1,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,"We introduce the Billboard Melodic Music Dataset (BiMMuDa), which contains the lead vocal melodies of the top five songs of each year from 1950 to 2022 according to the Billboard year-end singles charts. In this article, the dataset's compilation process and attributes are described in detail. The melody from each of the 371 songs was transcribed manually...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.425091,41,good,useful,not_applicable,Billboard vocal melody dataset 1950-2022; core symbolic MIR dataset resource.
c591074c0f6e158c96dcbd64def06092c0a871fc85cdc0212e74c595d92bc3d9,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4400775797,W4400775797,W4400775797,Practitioners' Perspectives on Spatial Audio: Insights into Dolby Atmos and Binaural Mixes in Popular Music,2024,1,jaes,Music Technology and Sound Studies,"This paper presents the practitioners' perspective on mixing popular music in spatial audio, particularly Dolby Atmos and the binaural mixes generated by the Dolby and Apple renderers. It presents the results of a dual-stage study, which utilized focus groups with eight professional music producers and a questionnaire completed by 140 practitioners. Analy...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.414878,49,acceptable,useful,not_applicable,spatial-audio mixing practitioner survey (Dolby Atmos/binaural); music-production technology adjacent to MIR discovery scope.
20d567b00ed6e3d140ad1da8f4f588c5087d32930b7e1ca03f55e7713a5b3c90,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4401727628,W4401727628,W4401727628,Charting the Universe of Metal Music Lyrics and Analyzing Their Relation to Perceived Audio Hardness,2024,3,tismir,Music and Audio Processing;Music Technology and Sound Studies;Music History and Culture,"We analyze the relationship between the musical and the lyrical content of metal music by combining automated audio feature extraction and quantitative text analysis on a corpus of 124,288 song lyrics from this genre. Based on this text corpus, a topic model is first constructed using Latent Dirichlet Allocation (LDA). For a subsample of 503 songs, scores...",second_surface_score_spread,rank-83787b91ef,emerging,0.41192,54,good,useful,not_applicable,metal lyrics topic modeling linked to perceived audio hardness; core MIR/music analytics research.
2f7f8d5c5fa4cee58cc117399ce9fb98e228c41c25d0e14fb77adb59e528096d,ml-shadow-scorer-second-surface-labeling-worksheet-v1,ml_shadow_scorer_second_surface_generalization_v1,https://openalex.org/W4400021540,W4400021540,W4400021540,Analysis and Model of Temporal Sound Attributes from Recorded Audio,2024,1,jaes,Music and Audio Processing;Speech and Audio Processing,"A computational framework is proposed for analyzing the temporal evolution of perceptual attributes of sound stimuli. As a paradigm, the perceptual attribute of envelopment, which is manifested in different audio sound reproduction formats, is employed. For this, listener temporal ratings of the envelopment for mono, stereo, and 5.0-channel surround music...",second_surface_high_score_candidate,rank-83787b91ef,emerging,0.400979,60,acceptable,useful,not_applicable,"audio DSP adjacent, but no clear music discovery or recommender value; temporal perceptual-attribute modeling for reproduction formats."
