ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,family,rank,paper_id,title,year,citation_count,source_slug,topics,final_score,reason_short,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,diversity_penalty,bridge_eligible,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,1,https://openalex.org/W3093121331,GiantMIDI-Piano: A Large-Scale MIDI Dataset for Classical Piano Music,2022,49,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.758103,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.85988,1,0.287091,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,2,https://openalex.org/W2890376498,Ethical Dimensions of Music Information Retrieval Technology,2018,85,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.746463,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.853919,0.963719,0.312732,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,3,https://openalex.org/W4394916053,The Sound Demixing Challenge 2023 - Music Demixing Track,2024,23,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,0.623751,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.842706,0.782313,0.213512,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,4,https://openalex.org/W3215381343,On Evaluation of Inter- and Intra-Rater Agreement in Music Recommendation,2021,40,tismir,Music and Audio Processing;Neuroscience and Music Perception;Speech and Audio Processing,0.57771,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.853292,0.680272,0.223053,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,5,https://openalex.org/W3209617794,Diversity by Design in Music Recommender Systems,2021,32,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.527897,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.848301,0.544218,0.287091,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,6,https://openalex.org/W4387375972,Perceptual and automated estimates of infringement in 40 music copyright cases,2023,16,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.471371,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.86735,0.408163,0.312732,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,7,https://openalex.org/W3092976109,Intelligent User Interfaces for Music Discovery,2020,25,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,0.439251,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.85454,0.364431,0.287091,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,8,https://openalex.org/W4386773472,PiJAMA: Piano Jazz with Automatic MIDI Annotations,2023,13,tismir,Music and Audio Processing;Music Technology and Sound Studies;Diverse Musicological Studies,0.432445,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.864044,0.331633,0.312732,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,9,https://openalex.org/W3016069856,Erkomaishvili Dataset: A Curated Corpus of Traditional Georgian Vocal Music for Computational Musicology,2020,25,tismir,Music and Audio Processing;Music Technology and Sound Studies;Speech and Audio Processing,0.416333,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.850322,0.364431,0.213512,,0,,,,,
rank-3904fec89d,bridge-v2-nm1-zero-r3-k6-20260424,source-snapshot-20260425-044015,v1-title-abstract-1536-cleantext-r3,kmeans-l2-v0-cleantext-r3-k6,emerging,10,https://openalex.org/W3129917041,Attend to Chords: Improving Harmonic Analysis of Symbolic Music Using Transformer-Based Models,2021,20,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,0.402229,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",0.840535,0.340136,0.213512,,0,,,,,
