work_id,title,abstract_preview,current_family_rank,hybrid_rank,disagreement_bucket,bridge_like_label,relevance_label,notes
https://openalex.org/W7126213550,"Potential and Pitfalls of Audio as Data for Political Research: Alignment, Features, and Classification Models","Abstract Political science is a field rich in multimodal information sources, from televised debates to parliamentary briefings. This paper bridges a gap between computer and political science in multimodal data analysis using audio. The adoption of multimodal analyses in political science (e.g., video/audio with text-as-data approaches) has been relatively slow due to unequal distribution of com…",377,1,promoted_by_hybrid,yes,good,explicit bridge: audio/MIR methods applied to political science; paper's own framing targets political scientists; clean external-audience yes
https://openalex.org/W4415337516,Sparse Autoencoders Make Audio Foundation Models More Explainable,"Audio pretrained models are widely employed to solve various tasks in speech processing, sound event detection, or music information retrieval. However, the representations learned by these models are unclear, and their analysis mainly restricts to linear probing of the hidden representations. In this work, we explore the use of Sparse Autoencoders (SAEs) to analyze the hidden representations of …",186,2,promoted_by_hybrid,partial,good,imports SAE explainability from LLM/NLP research into audio foundation models; technically cross-domain but output still primarily serves audio ML community
https://openalex.org/W4401445948,The Games We Play: Exploring the Impact of ISMIR on Musicology,"Throughout history, a consistent temporal and spatial gap has persisted between the inception of novel knowledge and technology and their subsequent adoption for extensive practical utilization. The article explores the dynamic interaction and exchange of methodologies between musicology and computational music research. It focuses on an analysis of ten years' worth of papers from the Internation…",183,3,promoted_by_hybrid,yes,good,meta-paper on MIR↔musicology methodological exchange; explicitly addresses musicologists as audience; strong bridge framing
https://openalex.org/W4417471638,Neural Audio Synthesis for Sound Effects: A Scope Review,"Neural Audio Synthesis is dedicated to generating sound through generative neural networks. Sound effects are defined as auditory elements that complement a specific scene (in cinema, fiction, or videogames), support a storyline, enhance a fictional environment, or improve the perceived plausibility and presence (including Virtual Reality) without being music or dialog. This manuscript presents a…",505,4,promoted_by_hybrid,yes,good,scope review bridging neural audio synthesis to sound design for film/game/VR; clear external audience distinct from core MIR
https://openalex.org/W4404570638,The Sound of Water: Inferring Physical Properties from Pouring Liquids,"We study the connection between audio observations and the underlying physics of a mundane yet intriguing everyday activity: pouring liquids. Given only the sound of liquid pouring into a container, our objective is to automatically infer physical properties such as the liquid level, the shape and size of the container, the pouring rate and the time to fill. To this end, we: (i) show in theory th…",311,5,promoted_by_hybrid,yes,good,"audio-based physical property inference (liquid level, container shape, pouring rate); bridges MIR signal processing with physics and perception science"
https://openalex.org/W4414011891,Estimation and Restoration of Unknown Nonlinear Distortion Using Diffusion,"The restoration of nonlinearly distorted audio signals, alongside the identification of the applied memoryless nonlinear operation, is studied. The paper focuses on the difficult but practically important case in which both the nonlinearity and the original input signal are unknown. The proposed method uses a generative diffusion model trained unconditionally on guitar or speech signals to jointl…",32,6,promoted_by_hybrid,partial,good,diffusion-based nonlinear audio restoration for guitar/speech; technically strong but primarily serving audio engineering community; external use implicit not explicit
https://openalex.org/W7128741623,Melodies of the forest: Nature as an improvisational space for shared creative embodiment,"Abstract In an era marked by increasing disconnection from nature, innovative approaches to reconnect with the environment are crucial for both ecological and psychological well‐being. This paper explores how natural environments (a deciduous forest of Quebec in the present case study) can serve as an improvisational space for shared creative embodiment, nurturing deeper connections between indiv…",385,7,promoted_by_hybrid,yes,good,"music improvisation in natural environments (Quebec forest); bridges audio/music practice with ecology, embodied cognition, and environmental psychology"
https://openalex.org/W4414560220,Enabling interoperable human-AI teaming for automation in construction and manufacturing via Digital Twins and Sliding Work Sharing ontologies,"This paper introduces an ontology system to support dynamic, explainable, and human-centric collaboration between humans and artificial intelligence-enabled non-human agents in cyber-physical environments. In this setting, Digital Twins (digital models of physical systems or processes that mirror their real-time state) and Human Digital Twins (digital representations of individual humans, includi…",147,8,promoted_by_hybrid,no,miss,human-AI teaming / Digital Twins ontology for construction and manufacturing; no audio/music content; out-of-domain model false positive
https://openalex.org/W4413133017,"Music, humans, and machines: initial reflections for the development of research with collaboration between composers and artificial intelligence in the creative process of Brazilian music","In the 1950s, Americans Hiller and Isaacson pioneered computer-generated music (Iliac Suite). Despite advancements in AI systems, current music generation through machines still employs that paradigm. Concurrently, emergent research on human-machine co-creation is reshaping the creative industries, enabling computers to co-create alongside human composers.",453,9,promoted_by_hybrid,yes,acceptable,human-machine co-creation in Brazilian music; bridges AI/music systems with creative industries and music composition practice
https://openalex.org/W4414818544,TalkPlay-Tools: Conversational Music Recommendation with LLM Tool Calling,"While the recent developments in large language models (LLMs) have successfully enabled generative recommenders with natural language interactions, their recommendation behavior is limited, leaving other simpler yet crucial components such as metadata or attribute filtering underutilized in the system. We propose an LLM-based music recommendation system with tool calling to serve as a unified ret…",321,10,promoted_by_hybrid,partial,good,LLM tool calling for conversational music recommendation; bridges NLP/LLM systems with music discovery; primarily a recommendation systems paper rather than MIR
https://openalex.org/W4411141659,Distilling DDSP: Exploring Real-Time Audio Generation on Embedded Systems,"This paper investigates the feasibility of running neural audio generative models on embedded systems, by comparing the performance of various models and evaluating their trade-offs in audio quality, inference speed, and memory usage. This work focuses on differentiable digital signal processing (DDSP) models, due to their hybrid architecture, which combines the efficiency and interoperability of…",54,11,promoted_by_hybrid,partial,good,same paper as v13 label; DDSP on embedded systems bridges ML audio synthesis with embedded/hardware deployment community
https://openalex.org/W4405584712,GOLF: A Singing Voice Synthesiser with Glottal Flow Wavetables and LPC Filters,"This paper introduces GlOttal‑flow LPC Filter (GOLF), a novel method for singing voice synthesis (SVS) that exploits the physical characteristics of the human voice using differentiable digital signal processing. GOLF employs a glottal model as the harmonic source and LPC filters to simulate the vocal tract, resulting in an interpretable and efficient synthesis approach. We show it is competitive…",48,12,promoted_by_hybrid,partial,good,same as v12/v13 label; glottal+LPC hybrid singing voice synthesis bridges classical DSP with differentiable ML
