worksheet_version,sample_seed,sample_reason,corpus_snapshot_version,embedding_version,cluster_version,ranking_run_id_context,review_pool_variant,paper_id,openalex_work_id,internal_work_id,title,year,citation_count,source_slug,type,cluster_id,topics,abstract_preview,ranking_context_family_scores_json,ranking_context_family_ranks_json,relevance_label,novelty_label,bridge_like_label,reviewer_notes
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7153448625,W7153448625,2296,"Comparative Analysis of SVM, k-NN and Logistic Regression Methods in Classifying Turkish Music Genres",2026,0,,article,c000,,"Music genre classification represents a fundamental challenge within the field of Music Information Retrieval (MIR). The analysis of audio signals plays a pivotal role in the process of music genre classification, facilitating the extraction of pertinent information from the frequency-based data of the auditory content. In this study, diverse acoustic chara…","{""bridge"": -0.2, ""emerging"": 0.164044}","{""bridge"": 96, ""emerging"": 174}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7133332586,W7133332586,2305,DeepHits: A Multimodal CNN Approach to Hit Song Prediction,2026,0,,article,c000,,"Hit Song Science aims to forecast a song's success before release and benefits from integrating signals beyond audio content alone. We present DeepHits, an end-to-end multimodal network that combines (i) log-Mel spectrogram embeddings from a compact residual 2D-CNN, (ii) frozen multilingual BERT lyric embeddings, and (iii) structured numeric features includ…","{""bridge"": -0.2, ""emerging"": 0.168989}","{""bridge"": 105, ""emerging"": 134}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7127163109,W7127163109,2311,Multitrack Music Transcription Based on Joint Learning of Onset and Frame Streams,2026,0,,article,c000,,"Multitrack music transcription is the task of converting music recordings into symbolic music representations that are assigned to individual instruments. This task requires simultaneous transcription of note onset and offset events for individual instruments. In addition, the limited resources of many transcription datasets make multitrack music transcript…","{""bridge"": -0.2, ""emerging"": 0.167634}","{""bridge"": 111, ""emerging"": 150}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W4409474113,W4409474113,135,Diffusion-Based Denoising of Historical Recordings,2025,0,jaes,article,c000,Music and Audio Processing;Image and Signal Denoising Methods,"In the context of audio restoration, the need to remove background noise from historical music recordings is a recurring problem, for which traditional signal processing and supervised deep learning methods have been previously applied. In this work, a generative approach that adapts conditional diffusion sampling for removing perceptually distributed noise…","{""bridge"": 0.583333, ""emerging"": 0.464035, ""undercited"": 0.7}","{""bridge"": 69, ""emerging"": 48, ""undercited"": 36}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7131744631,W7131744631,2406,Audio-visual archiving project in Dagbon of Northern Ghana during the period 1999-2010,2026,0,,article,c001,,"This paper is a full chapter of my dissertation and elaborates on the constructivistic grounded theory as a field methodology during an audio-visual field research linked to an ethnographic study in Northern Ghana and in particular Dagbon society, seen from the angle of embodied music interaction and expressive timing, during the period 1999-2010. This ethn…","{""bridge"": -0.2, ""emerging"": 0.165318}","{""bridge"": 198, ""emerging"": 166}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7134231904,W7134231904,2408,"Wherever I Lay My Hat is Home?: A Complex Case Study of Crowd-Sourcing, Coordination, and Cross-Platform Integration for Hosting Open Humanities Data",2026,0,,article,c001,,"We consider the relative (de-)merits of various platforms for those involved in creating, coordinating, and disseminating open humanities data, including Wikidata. We focus this discussion on the complex case of the 'OpenScore' initiative which creates digital encodings of musical scores under the CC0 licence for all use cases (musical, academic, and more).…","{""bridge"": -0.2, ""emerging"": 0.163646}","{""bridge"": 200, ""emerging"": 179}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W4406354762,W4406354762,141,"Evaluating Localization Accuracy of Dynamic Binaural Synthesis: Differences Between Individual, Estimated, and Generic HRTFs",2025,1,jaes,article,c003,Hearing Loss and Rehabilitation;Speech and Audio Processing;Noise Effects and Management,"In a listening experiment with 24 participants, the localization accuracy of dynamic binaural synthesis employing individual and estimated head-related transfer functions (HRTFs) was compared to the localization accuracy with generic HRTFs in vertical and horizontal direction. The experiment featured five different HRTF estimation methods, high-frequency au…","{""bridge"": 0.650866, ""emerging"": 0.493652, ""undercited"": 0.624204}","{""bridge"": 22, ""emerging"": 26, ""undercited"": 76}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7128586572,W7128586572,102,The Influence of Visual Cues on the Sound Externalization of Virtual Loudspeaker Setups,2026,0,jaes,article,c003,Hearing Loss and Rehabilitation;Music Therapy and Health;Noise Effects and Management,"Research has shown that visual cues influence the perceived sound externalization of binaural reproduction. However, it remains unclear whether providing a virtual visual representation of loudspeakers in addition to their binaural rendering influences their perceived externalization. Using augmented reality (AR), loudspeakers can be visualized within the l…","{""bridge"": 0.619048, ""emerging"": 0.45052, ""undercited"": 0.666667}","{""bridge"": 60, ""emerging"": 73, ""undercited"": 47}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W4414011896,W4414011896,112,A Pilot Study of an Acoustic Calibration and Psychoacoustic Validation of a Binaural-Rendered Neuroengineering Laboratory,2025,1,jaes,article,c003,Vehicle Noise and Vibration Control;Noise Effects and Management;Hearing Loss and Rehabilitation,"The increasing research in extended reality technologies has driven significant progress in developing virtual auditory experiments. These efforts aim to create immersive virtual environments, yet challenges such as room divergence-mismatches between virtual and physical auditory spaces-remain critical. This study focused on calibrating a binaural-rendered…","{""bridge"": 0.623782, ""emerging"": 0.486137, ""undercited"": 0.595037}","{""bridge"": 58, ""emerging"": 28, ""undercited"": 77}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7154583761,W7154583761,2359,Label-Efficient Social Noise Classification in Exceedance-Triggered Audio for Cost-Effective Source Tracing,2026,0,,article,c003,,"Identifying noise sources in exceedance-triggered audio is essential for targeted source tracing and sustainable urban social noise governance. While accurate models require massive labeled data, the acoustic complexity, high redundancy, and imbalanced class distributions of real-world recordings incur prohibitive manual annotation costs, hindering their wi…","{""bridge"": -0.2, ""emerging"": 0.169623}","{""bridge"": 155, ""emerging"": 128}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7154689616,W7154689616,2374,Wrap your head around it: algorithmic self-making and performances of taste on Spotify Wrapped,2026,0,,article,c004,,"This paper examines how Spotify Wrapped is perceived and understood by Brazilian users, exploring the algorithmic imaginaries (Bucher, 2017). that surround its appropriation in everyday life and how the datafication and the dashboarding of music consumption are incorporated into performances of taste (Airoldi, 2021; Prey, 2018). Focusing on Wrapped as an an…","{""bridge"": -0.2, ""emerging"": 0.159406}","{""bridge"": 169, ""emerging"": 195}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7149929510,W7149929510,2388,"New currents, old boundaries: exploring the relationship between streaming platforms and Afrikaans music",2026,0,,article,c004,,Abstract This article explores the impact of music streaming platforms on popular Afrikaans music. It sets recent technological developments in digital music distribution against the complex historical backdrop of the Afrikaans language and the histories of social marginalization affecting large parts of its linguistic communities. These patterns have shape…,"{""bridge"": -0.2, ""emerging"": 0.157203}","{""bridge"": 182, ""emerging"": 200}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W4409474100,W4409474100,134,Analysis of Human Participants in the Journal of the Audio Engineering Society,2025,0,jaes,article,c004,Music Technology and Sound Studies,"This paper explores issues of equity, diversity, and inclusion in the Audio Engineering Society. It provides an overview of recent initiatives and publications on the participation of various groups in the audio industry and the Audio Engineering Society community. It also discusses the concept of justice in human research and its relevance to the recruitme…","{""bridge"": 0.516667, ""emerging"": 0.461974, ""undercited"": 0.7}","{""bridge"": 78, ""emerging"": 57, ""undercited"": 35}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7154260406,W7154260406,2295,"A Multidimensional MIR Analysis of Acoustic, Linguistic and Cultural Gaps Between Maskandi and Western Music Genres",2026,0,,article,c004,,"Contemporary Music Information Retrieval (MIR) and Natural Language Processing (NLP) systems are increasingly applied to diverse musical traditions, yet they are largely grounded in Western musical and linguistic assumptions. This study examines whether commonly used MIR features and multilingual NLP models adequately represent the acoustic, linguistic, and…","{""bridge"": -0.2, ""emerging"": 0.174141}","{""bridge"": 95, ""emerging"": 96}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7127282231,W7127282231,2405,Analysis of an intelligent piano music transcription model by deep reinforcement learning,2026,0,,article,c005,,"To improve the accuracy of automatic piano music transcription in complex environments, a recognition system applicable to practical scenarios such as music education assistance and intelligent performance analysis was developed.First, audio features were extracted using Log-Mel spectrograms, combined with data augmentation and adaptive pitch normalisation…","{""bridge"": -0.2, ""emerging"": 0.170047}","{""bridge"": 197, ""emerging"": 124}",,,,
ml-blind-snapshot-review-v1,20260430,cluster_stratified_seeded,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,rank-ee2ba6c816,ml_blind_snapshot_audit,https://openalex.org/W7117894180,W7117894180,2323,[Paper] TPSMG: Text-Controllable Polyphonic Symbolic Music Generation,2025,0,,article,c005,,"We propose a novel text-controllable polyphonic symbolic music generation method based on diffusion models. Symbolic music generation has garnered significant attention due to its flexibility and seamless integration with Digital Audio Workstations (DAWs), as it enables the generation of MIDI files, facilitating easier modification compared to waveform musi…","{""bridge"": -0.2, ""emerging"": 0.16522}","{""bridge"": 123, ""emerging"": 168}",,,,
