ranking_run_id,ranking_version,corpus_snapshot_version,embedding_version,cluster_version,family,review_pool_variant,family_rank,paper_id,work_id,title,year,citation_count,source_slug,topics,final_score,semantic_score,citation_velocity_score,topic_growth_score,bridge_score,bridge_eligible,diversity_penalty,reason_short,sample_reason,relevance_label,novelty_label,bridge_like_label,reviewer_notes
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,217,https://openalex.org/W7155083536,W7155083536,"Recent Progress in Exosome-Derived Nanocarriers for Breast Cancer Therapy: Advances, Translational Barriers, and Scale-Up Considerations",2026,0,,,0.139711,0.698555,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,irrelevant,not_useful,not_applicable,Biomedical nanocarrier review is off-slice for emerging MIR/audio-ML.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,216,https://openalex.org/W7127415374,W7127415374,The Hidden Harmony of Life and the Quantum,2026,0,,,0.145255,0.726277,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,irrelevant,not_useful,not_applicable,Quantum/life essay title is off-slice and not useful for the emerging research surface.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,215,https://openalex.org/W7138858050,W7138858050,"Digital capitalism, platformization and coloniality: an investigation of Jakarta's positioning as a ""trigger city"" in the global music market",2026,0,,,0.149583,0.747916,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,miss,not_useful,not_applicable,Music-market platformization is music-adjacent but not an audio-ML or MIR recommendation fit.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,214,https://openalex.org/W7124510246,W7124510246,Suggestopedia and Simplex Didactics as an Integrated Model for Interdisciplinary Design in Higher Education: Results of an Action Research Study,2026,0,,,0.150188,0.750941,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,irrelevant,not_useful,not_applicable,Higher-education didactics is off-slice for Research Radar.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,213,https://openalex.org/W4416550162,W4416550162,Identifying statistical indicators of temporal asymmetry using a data-driven approach,2026,0,,,0.151126,0.755628,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,miss,not_useful,not_applicable,Generic temporal-asymmetry statistics title lacks clear audio/MIR fit.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,212,https://openalex.org/W7116215710,W7116215710,"Embedding Mental, Behavioral Health and Social Emotional Literacy Services into an After Care Program",2026,0,,,0.151559,0.757793,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,irrelevant,not_useful,not_applicable,Behavioral health literacy program is off-slice.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,211,https://openalex.org/W7148622850,W7148622850,Subtitles and Accessibility,2026,0,,,0.15188,0.759402,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,miss,not_useful,not_applicable,Subtitles/accessibility is media-adjacent but weak fit for emerging audio-ML/MIR.
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,210,https://openalex.org/W7139997811,W7139997811,A neutrosophic clustering approach to handle recommendation uncertainty for gray sheep users,2026,0,,,0.152968,0.764841,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,acceptable,surprising,not_applicable,"Recommendation uncertainty method is product-adjacent, though not music/audio-specific."
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,209,https://openalex.org/W7151268703,W7151268703,"Why Not Her? Gender, power, and gatekeeping in Irish and UK radio and festival programming",2026,0,,,0.153288,0.766441,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,miss,not_useful,not_applicable,"Radio/festival gatekeeping is music-industry research, not emerging audio-ML."
rank-ee2ba6c816,bridge-v2-nm1-zero-corpusv2-r2-k12-elig-top50-cross040-20260428,source-snapshot-v2-candidate-plan-20260428,v2-title-abstract-1536-cleantext-r1,kmeans-l2-v2-cleantext-r1-k12,emerging,ml_emerging_target_gap_audit:good_or_acceptable,208,https://openalex.org/W4417081049,W4417081049,Hashing-Baseline: Rethinking Hashing in the Age of Pretrained Models,2026,0,,,0.153294,0.766472,0,0,,,0,"Emerging: embedding slice fit vs included-corpus centroid (title+abstract), plus citation velocity and topic growth; not universal relevance. Bridge signal not used here.",emerging_bottom_rank_tail,acceptable,useful,not_applicable,"Hashing with pretrained models is relevant retrieval/representation context, though not audio-specific."
