work_id,title,abstract_preview,current_family_rank,hybrid_rank,disagreement_bucket,bridge_like_label,relevance_label,notes
https://openalex.org/W7126213550,"Potential and Pitfalls of Audio as Data for Political Research: Alignment, Features, and Classification Models",,377,1,promoted_by_hybrid,,,
https://openalex.org/W4415337516,Sparse Autoencoders Make Audio Foundation Models More Explainable,,186,2,promoted_by_hybrid,,,
https://openalex.org/W4401445948,The Games We Play: Exploring the Impact of ISMIR on Musicology,,183,3,promoted_by_hybrid,,,
https://openalex.org/W4417471638,Neural Audio Synthesis for Sound Effects: A Scope Review,,505,4,promoted_by_hybrid,,,
https://openalex.org/W4404570638,The Sound of Water: Inferring Physical Properties from Pouring Liquids,,311,5,promoted_by_hybrid,,,
https://openalex.org/W4414011891,Estimation and Restoration of Unknown Nonlinear Distortion Using Diffusion,,32,6,promoted_by_hybrid,,,
https://openalex.org/W7128741623,Melodies of the forest: Nature as an improvisational space for shared creative embodiment,,385,7,promoted_by_hybrid,,,
https://openalex.org/W4414560220,Enabling interoperable human-AI teaming for automation in construction and manufacturing via Digital Twins and Sliding Work Sharing ontologies,,147,8,promoted_by_hybrid,,,
https://openalex.org/W4413133017,"Music, humans, and machines: initial reflections for the development of research with collaboration between composers and artificial intelligence in the creative process of Brazilian music",,453,9,promoted_by_hybrid,,,
https://openalex.org/W4414818544,TalkPlay-Tools: Conversational Music Recommendation with LLM Tool Calling,,321,10,promoted_by_hybrid,,,
https://openalex.org/W4411141659,Distilling DDSP: Exploring Real-Time Audio Generation on Embedded Systems,,54,11,promoted_by_hybrid,,,
https://openalex.org/W4405584712,GOLF: A Singing Voice Synthesiser with Glottal Flow Wavetables and LPC Filters,,48,12,promoted_by_hybrid,,,
https://openalex.org/W4401727628,Charting the Universe of Metal Music Lyrics and Analyzing Their Relation to Perceived Audio Hardness,,61,13,promoted_by_hybrid,,,
https://openalex.org/W4409474100,Analysis of Human Participants in the Journal of the Audio Engineering Society,,91,14,promoted_by_hybrid,,,
https://openalex.org/W4413910507,HarmonyTok: Comparing Methods for Harmony Tokenization for Machine Learning,,470,15,promoted_by_hybrid,,,
https://openalex.org/W4400517077,Beyond Acoustics: Capacity Limitations of Linguistic Levels,,130,16,promoted_by_hybrid,,,
https://openalex.org/W7139997811,A neutrosophic clustering approach to handle recommendation uncertainty for gray sheep users,,303,17,promoted_by_hybrid,,,
https://openalex.org/W4415316343,A Lightweight Two‑Branch Architecture for Multi‑Instrument Transcription via Note‑Level Contrastive Clustering,,26,18,promoted_by_hybrid,,,
https://openalex.org/W7123832092,Fund Similarity: A Use of Bipartite Graphs,,369,19,promoted_by_hybrid,,,
https://openalex.org/W7133257773,Logical Metainferentialism,,398,20,promoted_by_hybrid,,,
https://openalex.org/W4409215215,Issues and Challenges of Audio Technologies for the Musical Metaverse,,14,42,demoted_by_hybrid,,,
https://openalex.org/W4411649085,The AI Music Arms Race: On the Detection of AI-Generated Music,,10,45,demoted_by_hybrid,,,
https://openalex.org/W4411141958,Reverse Engineering of Music Mixing Graphs With Differentiable Processors and Iterative Pruning,,13,46,demoted_by_hybrid,,,
https://openalex.org/W4409215217,Modeling Time-Variant Responses of Optical Compressors With Selective State Space Models,,3,52,demoted_by_hybrid,,,
https://openalex.org/W4411141874,"Physical Modeling of a Spring Reverb Tank Incorporating Helix Angle, Damping, and Magnetic Bead Coupling",,1,70,demoted_by_hybrid,,,
https://openalex.org/W7131681001,Inferring Communities of Medieval Music Manuscripts Using Stochastic Block Models,,7,84,demoted_by_hybrid,,,
https://openalex.org/W4416267785,ImproVision Equilibrium: Toward Multimodal Musical Human-Machine Interaction,,20,171,demoted_by_hybrid,,,
https://openalex.org/W4415947443,Beyond a Western Center of Music Information Retrieval: A Bibliometric Analysis of the First 25 Years of ISMIR Authorship,,8,199,demoted_by_hybrid,,,
https://openalex.org/W4414199528,PESTO: Real‑Time Pitch Estimation with Self‑Supervised Transposition‑Equivariant Objective,,19,244,demoted_by_hybrid,,,
https://openalex.org/W4409474070,Analysis of Various 3D Acquisition Techniques and Mesh Differences for Head-related Transfer Functions Calculation,,9,368,demoted_by_hybrid,,,
https://openalex.org/W4412900768,STAR Drums: A Dataset for Automatic Drum Transcription,,12,411,demoted_by_hybrid,,,
https://openalex.org/W4409215261,Toward an Improved Auditory Model for Predicting Binaural Coloration,,4,415,demoted_by_hybrid,,,
https://openalex.org/W7128595024,High-Resolution Directivity Measurements of an Artificial Head and Mouth Shaped to Three Vowels,,15,437,demoted_by_hybrid,,,
https://openalex.org/W4407236737,The GigaMIDI Dataset with Features for Expressive Music Performance Detection,,17,451,demoted_by_hybrid,,,
https://openalex.org/W4414799687,Improved Real-Time Six-Degrees-of-Freedom Dynamic Auralization Through Nonuniformly Partitioned Convolution,,16,470,demoted_by_hybrid,,,
https://openalex.org/W7116976483,Multimodal Datasets for Studying Expert Performances of Musical Scores,,18,490,demoted_by_hybrid,,,
https://openalex.org/W4409967775,ChoraleBricks: A Modular Multitrack Dataset for Wind Music Research,,6,501,demoted_by_hybrid,,,
https://openalex.org/W4402645135,BPSD: A Coherent Multi-Version Dataset for Analyzing the First Movements of Beethoven's Piano Sonatas,,11,507,demoted_by_hybrid,,,
https://openalex.org/W4408772031,CCMusic: An Open and Diverse Database for Chinese Music Information Retrieval Research,,2,513,demoted_by_hybrid,,,
https://openalex.org/W4410091503,Towards an 'Everything Corpus': A Framework and Guidelines for the Curation of More Comprehensive Multimodal Music Data,,5,516,demoted_by_hybrid,,,
https://openalex.org/W7114777446,EmoTune - Emotion Based Music Recommendation System,,356,318,high_ml_low_bridge_score,,,
https://openalex.org/W4413990340,Smartwatch-Based Audio-Gestural Insights in Violin Bow Stroke Analyses,,39,314,high_ml_low_bridge_score,,,
https://openalex.org/W7131735100,Smartwatch-Based Audio-Gestural Insights in Violin Bow Stroke Analyses,,523,315,high_ml_low_bridge_score,,,
https://openalex.org/W4413612773,The Role of Fairness and Diversity in User Choices and Perceptions of Music Playlists,,464,261,high_ml_low_bridge_score,,,
https://openalex.org/W7112868420,"""Currently Listening to…""::Curating Artist Playlists and Authenticity on Spotify",,354,298,high_ml_low_bridge_score,,,
https://openalex.org/W7149929510,"New currents, old boundaries: exploring the relationship between streaming platforms and Afrikaans music",,276,259,high_ml_low_bridge_score,,,
https://openalex.org/W7125951231,"""Currently Listening to …"": Curating Artist Playlists and Authenticity on Spotify",,521,293,high_ml_low_bridge_score,,,
https://openalex.org/W4403281875,Influence of rhythm features on beat/movement synchronization using a low-cost vision system,,161,309,high_ml_low_bridge_score,,,
https://openalex.org/W7154726525,Engagement-based curation and the evolution of taste,,261,201,high_ml_low_bridge_score,,,
https://openalex.org/W4412857239,Evolving Music Consumption From Live Performances to Case Based Playlist Recommendations,,447,193,high_ml_low_bridge_score,,,
https://openalex.org/W4414819135,SingMOS-Pro: An Comprehensive Benchmark For Singing Quality Assessment,,243,247,high_bridge_score_low_ml,,,
https://openalex.org/W7118190673,VEHICLE SOUND DETECTION USING DEEP LEARNING MODELS,,225,240,high_bridge_score_low_ml,,,
https://openalex.org/W7140272473,Compressing Quaternion Convolutional Neural Networks for Audio Classification,,524,265,high_bridge_score_low_ml,,,
https://openalex.org/W7155083536,"Recent Progress in Exosome-Derived Nanocarriers for Breast Cancer Therapy: Advances, Translational Barriers, and Scale-Up Considerations",,301,254,high_bridge_score_low_ml,,,
https://openalex.org/W4410033452,Cross‑Modal Approaches to Beat Tracking: A Case Study on Chopin Mazurkas,,22,260,high_bridge_score_low_ml,,,
https://openalex.org/W7117124508,ADFF-Net: An Attention-Based Dual-Stream Feature Fusion Network for Respiratory Sound Classification,,514,205,high_bridge_score_low_ml,,,
https://openalex.org/W7126269324,Tonal Mode Detection Based on the Triple Composite Signature of Fifths,,209,304,high_bridge_score_low_ml,,,
https://openalex.org/W4413329385,Acoustic Analysis of Semi-Rigid Base Asphalt Pavements Based on Transformer Model and Parallel Cross-Gate Convolutional Neural Network,,456,280,high_bridge_score_low_ml,,,
https://openalex.org/W4403467832,The Impact of Standing Waves on Localization Ability of Low-Frequency Sound Sources,,80,275,high_bridge_score_low_ml,,,
https://openalex.org/W7136637962,End-to-End Acoustic Classification of Respiratory Sounds Using Multi-Architecture Deep Neural Networks,,304,338,high_bridge_score_low_ml,,,
