"row_id","worksheet_version","review_pool_variant","paper_id","openalex_work_id","work_id","title","year","citation_count","source_slug","topics","abstract_preview","sample_reason","ranking_run_id","family","final_score","rank_in_family","relevance_label","novelty_label","bridge_like_label","reviewer_notes"
"2b5b2b4edf9d56fed60670f1e3260f1ed4acb607034843a04f0aa5a95eb6234b","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7130374567","W7130374567","W7130374567","A unified multimodal learning framework for sentiment analysis and mental health indicators from YouTube videos","2026","1","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.231809","84","miss","obvious","not_applicable","multimodal YouTube sentiment and mental-health indicators; clinical/wellness ML with no music/audio/MIR bridge (emerging family)."
"a6bdc788965ff16cdb0658c1313073ce4b3f4cfb1a2210494a7da234af7d6397","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4414866178","W4414866178","W4414866178","AI-Driven Multimodal Emotion Recognition and Personalized Recommendations Using Power BI","2025","2","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.231443","85","acceptable","obvious","partial","multimodal emotion recognition plus personalized recommendations via Power BI demo; on-target application but prototype/student tier like EmoTune."
"76f88571f140510cfd205c8a9ab24267abaebfe355c63ae8ff13c1663224dc0f","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4417357200","W4417357200","W4417357200","Joint Learning of Emotion and Singing Style for Enhanced Music Style Understanding","2025","1","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.202225","100","good","useful","not_applicable","joint learning of emotion and singing style for music style understanding; core MIR representation/understanding research."
"5c602130aef3062aefa0ba51b20c962eb3d6ab7b3609088a145351d724cacb5e","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4417185100","W4417185100","W4417185100","AI-driven music intervention based on five-tone theory for anxiety: a preliminary pre-post feasibility study","2025","1","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.198141","103","miss","obvious","partial","AI music intervention for anxiety using five-tone theory; clinical feasibility study, not MIR, audio ML, or recsys discovery."
"5ba5f20acd5afbe5dc953cef011b08f85d2834ab05b65212fa69d2be40c8ee74","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4388189390","W4388189390","W4388189390","An Algorithmic Approach to Automated Symbolic Transcription of Hindustani Vocals","2023","1","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.183299","108","good","useful","not_applicable","automated symbolic transcription of Hindustani vocals; core OMR/symbolic MIR transcription task."
"ee2232779293321302bea57007c9af4ceef57116022f78691905af9b199b345a","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4414972133","W4414972133","W4414972133","A Study on the Data Distribution Gap in Music Emotion Recognition","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.173781","125","good","useful","not_applicable","data distribution gap study for music emotion recognition; core MER/MIR methodology."
"b893bb868ba75476b751e708c04490c7ac0074c68b55b01b63ce5bb9dba16457","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W4415105851","W4415105851","W4415105851","Emotion-Conditioned Chiptune Music Generation Using a Hybrid PatchTST-LSTM Model","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.171576","143","good","useful","not_applicable","emotion-conditioned chiptune generation with PatchTST-LSTM; generative music / music AI research."
"c8b8718904fe8bb06a1157339b5878aa2f51c871dc578c9ac2cfa90ab74d7282","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7117589451","W7117589451","W7117589451","Distributed Cross‐Domain Music Style Transfer in the SAGIN Environment","2025","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.171375","146","acceptable","useful","partial","cross-domain music style transfer in SAGIN edge environment; MIR style-transfer method but systems/deployment framing is adjacent-tier."
"3f4e1aa600a1b81e703ff991ce9bebfd87c49b7409f2f5784590ab7a0ded1526","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7127968637","W7127968637","W7127968637","Music Performance Improvement Support System Using a Semi-Automated Instrument-Playing Robot with Real-Time Acoustic Analysis and Habit Visualization","2026","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.170521","157","acceptable","useful","partial","instrument-playing robot with real-time acoustic analysis for performance coaching; music pedagogy/performance support, not core MIR task paper."
"67136eeb0996fcd5ad23de5d67676a61521d3609ee361219480f7efcf227976a","ml-fresh-eval-positive-topup-worksheet-hybrid-v1","ml_fresh_hybrid_positive_topup_v1","https://openalex.org/W7154948626","W7154948626","W7154948626","Smart Playlist Generator Using Affective Computing","2026","0","","","","fresh_hybrid_positive_topup","rank-9f4b2a2084","emerging","0.169186","168","acceptable","obvious","partial","affective-computing smart playlist generator; emotion-driven playlist application prototype, not core MIR/recsys method research."
