row_id,worksheet_version,review_pool_variant,paper_id,openalex_work_id,work_id,title,year,citation_count,source_slug,topics,abstract_preview,sample_reason,relevance_label,novelty_label,bridge_like_label,reviewer_notes
4aed5fb3a2206be0dd5a77ab15748ae8dccbf5453b8aa81561ede174a782a0cc,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4405584712,W4405584712,W4405584712,GOLF: A Singing Voice Synthesiser with Glottal Flow Wavetables and LPC Filters,2024,3,tismir,Music and Audio Processing;Speech and Audio Processing;Music Technology and Sound Studies,"This paper introduces GlOttal‑flow LPC Filter (GOLF), a novel method for singing voice synthesis (SVS) that exploits the physical characteristics of the human voice using differentiable digital signal processing. GOLF employs a glottal model as the harmonic source and LPC filters to simulate the vocal tract, resulting in an interpretable and efficient synth…",bridge_deep_cut,,,,
aa18a16a31761c04d2869591176dbfad6b898227e94ec1a238796e9d3a60a69a,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W7130501983,W7130501983,W7130501983,Speech Emotion Recognition Using Transfer Learning: A Comparative Study,2026,0,,,"ABSTRACT Speech emotion recognition (SER) is a critical research area at the intersection of affective computing and audio signal processing. Traditional approaches often require extensive manual feature engineering and large labeled datasets, which can limit performance in real‐world applications. Recently, transfer learning with pretrained audio neural ne…",bridge_suppressed_final,,,,
4ca93d2882161f2595972a8e0b59a599d1a03a1f004ca1f65121a8700447f9e9,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4415111656,W4415111656,W4415111656,Methods for Pitch Analysis in Contemporary Popular Music: Multiple Pitches From Harmonic Tones in Vitalic's Music,2026,0,jaes,,This study shows that contemporary popular music with electronic elements can intentionally exploit multiple or ambiguous pitch perceptions arising from a single harmonic complex tone. The phenomenon is illustrated with examples from the work of electronic artist Vitalic and from widely used electronically mediated tones. Two listening tests were conducted:…,bridge_suppressed_final,,,,
8909d86f79955bf697b8bf4d782d99b741a1f7e86a92d912bfd946adfdeaad52,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W7131287973,W7131287973,W7131287973,Positioning of UAVs in Urban Environments Using Fusion of TDOA and AOA Data Based on Extended Kalman Filter,2026,0,,,"Unmanned aerial vehicles (UAVs) have been extensively deployed across a range of applications thank to their flexibility and low cost. While this expansion has significantly improved their operational efficiency and service capacity, it has also posed challenges for UAV supervision and management systems. To address these issues, this paper proposes a three…",bridge_suppressed_final,,,,
2751c233be8400fa0e7bfd8e107d932377a5cdf9a35f9190f01f7c7707c27cf3,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4414769078,W4414769078,W4414769078,Application of Long Short-Term Memory Intelligent Algorithm in Automatic Classification System,2025,0,,,"This research focuses on music genre classification (MGC) and music genre recognition within the field of music information retrieval. Specifically, an MGC system is devised leveraging long short-term memory (LSTM) and recurrent neural network architectures. The LSTM model facilitates learning continuous frame feature representations and assimilating statis…",bridge_suppressed_final,,,,
d58c5357784457880982047cd2c863c2eadfd42e2d9176547e39c604e3a00b6f,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4410025358,W4410025358,W4410025358,Designing Neural Synthesizers for Low-Latency Interaction,2025,1,jaes,Neural Networks and Applications,"Neural audio synthesis (NAS) models offer interactive musical control over high-quality, expressive audio generators. While these models can operate in real time, they often suffer from high latency, making them unsuitable for intimate musical interaction. The impact of architectural choices in deep learning models on audio latency remains largely unexplore…",bridge_deep_cut,,,,
10f53bb424f6395e5acfa751572760dc7953c54151ac23e73e86192f1e090640,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W7128435442,W7128435442,W7128435442,"Crossmodal counterpoint: from music to multimedia - incongruency, cognitive dissonance, irony, and surrealism",2026,1,,,Laboratory-based research on multisensory perception often presents participants with unpredictable combinations of auditory and visual stimuli that may be classed (by the experimenter) as either congruent or incongruent. Cognitive neuroscientists generally assume that congruent combinations of experimental stimuli will be processed more fluently and lead t…,corpus_blind_seeded_fill,,,,
458f4ea86c927f333c2c392ddf573555fe819db5ab4be73283b2a02e66a9c778,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4401401564,W4401401564,W4401401564,The Billboard Melodic Music Dataset (BiMMuDa),2024,1,tismir,Music and Audio Processing;Music Technology and Sound Studies;Neuroscience and Music Perception,"We introduce the Billboard Melodic Music Dataset (BiMMuDa), which contains the lead vocal melodies of the top five songs of each year from 1950 to 2022 according to the Billboard year-end singles charts. In this article, the dataset's compilation process and attributes are described in detail. The melody from each of the 371 songs was transcribed manually i…",bridge_deep_cut,,,,
7111aedc39eb8d2ae795e7629d87cf7d866b037d4e2507dd393c1805e1f0405a,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4414055947,W4414055947,W4414055947,AI-Based Music Mood Composer Using Deep Learning Techniques,2025,0,,,"AI Music Creation mood-based composition using artificial intelligence has becomea novel interdisciplinary field combining signal processing, affective computing, and deep learning. This paper proposes a music-generatingAI based on a user's emotional context by leveraging a combination of recurrent neural networks (RNNs), transformer architectures, and audi…",corpus_blind_seeded_fill,,,,
2357639838f458b439ebd384bd0ccd8b775cee8713e256a4044c1de2fd65a808,ml-bridge-negative-mining-v1,ml_bridge_negative_mining_audit,https://openalex.org/W4409215250,W4409215250,W4409215250,Influence of Head Rotation Speed and Individual Head-Related Transfer Functions on Latency Detection Threshold in Dynamic Binaural Rendering,2025,0,jaes,3D Shape Modeling and Analysis;Cultural and Historical Studies,"Binaural audio is a relevant rendering technique for mass diffusion in immersive experiences. By adding a head tracking system, dynamic binaural rendering can improve the overall quality in comparison with static rendering. However, introduced latency between the head movement and the audio rendering is detrimental to the audio experience. Previous studies…",bridge_deep_cut,,,,
